MortScaleName,Gender,TableID,Age,ImprovementRate
AA,F,923,1,0.0200
AA,F,923,2,0.0200
AA,F,923,3,0.0200
AA,F,923,4,0.0200
AA,F,923,5,0.0200
AA,F,923,6,0.0200
AA,F,923,7,0.0200
AA,F,923,8,0.0200
AA,F,923,9,0.0200
AA,F,923,10,0.0200
AA,F,923,11,0.0200
AA,F,923,12,0.0200
AA,F,923,13,0.0200
AA,F,923,14,0.0180
AA,F,923,15,0.0160
AA,F,923,16,0.0150
AA,F,923,17,0.0140
AA,F,923,18,0.0140
AA,F,923,19,0.0150
AA,F,923,20,0.0160
AA,F,923,21,0.0170
AA,F,923,22,0.0170
AA,F,923,23,0.0160
AA,F,923,24,0.0150
AA,F,923,25,0.0140
AA,F,923,26,0.0120
AA,F,923,27,0.0120
AA,F,923,28,0.0120
AA,F,923,29,0.0120
AA,F,923,30,0.0100
AA,F,923,31,0.0080
AA,F,923,32,0.0080
AA,F,923,33,0.0090
AA,F,923,34,0.0100
AA,F,923,35,0.0110
AA,F,923,36,0.0120
AA,F,923,37,0.0130
AA,F,923,38,0.0140
AA,F,923,39,0.0150
AA,F,923,40,0.0150
AA,F,923,41,0.0150
AA,F,923,42,0.0150
AA,F,923,43,0.0150
AA,F,923,44,0.0150
AA,F,923,45,0.0160
AA,F,923,46,0.0170
AA,F,923,47,0.0180
AA,F,923,48,0.0180
AA,F,923,49,0.0180
AA,F,923,50,0.0170
AA,F,923,51,0.0160
AA,F,923,52,0.0140
AA,F,923,53,0.0120
AA,F,923,54,0.0100
AA,F,923,55,0.0080
AA,F,923,56,0.0060
AA,F,923,57,0.0050
AA,F,923,58,0.0050
AA,F,923,59,0.0050
AA,F,923,60,0.0050
AA,F,923,61,0.0050
AA,F,923,62,0.0050
AA,F,923,63,0.0050
AA,F,923,64,0.0050
AA,F,923,65,0.0050
AA,F,923,66,0.0050
AA,F,923,67,0.0050
AA,F,923,68,0.0050
AA,F,923,69,0.0050
AA,F,923,70,0.0050
AA,F,923,71,0.0060
AA,F,923,72,0.0060
AA,F,923,73,0.0070
AA,F,923,74,0.0070
AA,F,923,75,0.0080
AA,F,923,76,0.0080
AA,F,923,77,0.0070
AA,F,923,78,0.0070
AA,F,923,79,0.0070
AA,F,923,80,0.0070
AA,F,923,81,0.0070
AA,F,923,82,0.0070
AA,F,923,83,0.0070
AA,F,923,84,0.0070
AA,F,923,85,0.0060
AA,F,923,86,0.0050
AA,F,923,87,0.0040
AA,F,923,88,0.0040
AA,F,923,89,0.0030
AA,F,923,90,0.0030
AA,F,923,91,0.0030
AA,F,923,92,0.0030
AA,F,923,93,0.0020
AA,F,923,94,0.0020
AA,F,923,95,0.0020
AA,F,923,96,0.0020
AA,F,923,97,0.0010
AA,F,923,98,0.0010
AA,F,923,99,0.0010
AA,F,923,100,0.0010
AA,F,923,101,0.0000
AA,F,923,102,0.0000
AA,F,923,103,0.0000
AA,F,923,104,0.0000
AA,F,923,105,0.0000
AA,F,923,106,0.0000
AA,F,923,107,0.0000
AA,F,923,108,0.0000
AA,F,923,109,0.0000
AA,F,923,110,0.0000
AA,F,923,111,0.0000
AA,F,923,112,0.0000
AA,F,923,113,0.0000
AA,F,923,114,0.0000
AA,F,923,115,0.0000
AA,F,923,116,0.0000
AA,F,923,117,0.0000
AA,F,923,118,0.0000
AA,F,923,119,0.0000
AA,F,923,120,0.0000
AA,M,924,1,0.0200
AA,M,924,2,0.0200
AA,M,924,3,0.0200
AA,M,924,4,0.0200
AA,M,924,5,0.0200
AA,M,924,6,0.0200
AA,M,924,7,0.0200
AA,M,924,8,0.0200
AA,M,924,9,0.0200
AA,M,924,10,0.0200
AA,M,924,11,0.0200
AA,M,924,12,0.0200
AA,M,924,13,0.0200
AA,M,924,14,0.0190
AA,M,924,15,0.0190
AA,M,924,16,0.0190
AA,M,924,17,0.0190
AA,M,924,18,0.0190
AA,M,924,19,0.0190
AA,M,924,20,0.0190
AA,M,924,21,0.0180
AA,M,924,22,0.0170
AA,M,924,23,0.0150
AA,M,924,24,0.0130
